fx_risco,qtd,media_prob,media_scr,sd_limite,media_limite,mediana_limite,pd_observado,min_limite,max_limite,IC_inf,IC_sup,media_limite_isotonico
"(788.142, 793.026]",3117,0.005112145354215397,790.5603156842424,4152.003646917056,6667.900690569119,6127.0,0.0006416426050689766,500.0,38400.0,6522.084367366081,6813.717013772158,7657.312079731054
"(783.174, 788.142]",3118,0.005468529901657903,785.6736406622053,4204.500509428414,6692.334467972076,6446.0,0.0,100.0,38400.0,6544.6981797545695,6839.970756189582,7657.312079731054
"(483.484, 492.352]",3118,0.25425946754157014,487.9657364094072,6048.2043427183635,6700.7116934459555,5208.0,0.22674791533033997,500.0,40000.0,6488.335826791266,6913.087560100645,6728.886355737755
"(798.063, 803.094]",3118,0.004453111366831092,800.5648521633178,4267.971515497267,6710.598190570434,6160.0,0.0,200.0,40000.0,6560.733189637964,6860.463191502904,7657.312079731054
"(819.809, 825.888]",3118,0.003275911214672492,822.8025065536888,4106.278204328066,6727.928484811981,6296.5,0.0,500.0,37536.0,6583.7411619383165,6872.115807685646,7657.312079731054
"(825.888, 832.28]",3118,0.003005276736972952,829.0455444450777,4159.823762517372,6734.944259089751,6375.0,0.0,500.0,40000.0,6588.876744396896,6881.011773782605,7657.312079731054
"(839.176, 846.579]",3118,0.0024846110637642724,842.8127581281393,4187.703870037207,6743.86993485941,6240.0,0.0,500.0,40000.0,6596.823441669561,6890.916428049259,7657.312079731054
"(474.659, 483.484]",3118,0.2784959376934775,479.01134208932706,6210.339735037971,6757.061018029554,5256.0,0.23155869146889033,400.0,40000.0,6538.9919501356035,6975.130085923505,6728.886355737755
"(813.877, 819.809]",3118,0.003557617923391173,816.8302674633809,4320.5469347845665,6778.9036832055635,6427.5,0.0,500.0,100000.0,6627.192555786094,6930.614810625033,7657.312079731054
"(803.094, 808.376]",3118,0.004146437292057396,805.7355884922396,4142.4873338655225,6782.373464742476,6528.0,0.00032071840923669016,150.0,40000.0,6636.914699167708,6927.8322303172445,7657.312079731054
"(294.863, 309.685]",3118,0.8167581461243414,302.4352584749208,5346.4423686635055,6804.750487671323,5760.0,0.9034637588197563,500.0,40000.0,6617.0162003978985,6992.484774944747,6462.427565884118
"(793.026, 798.063]",3118,0.004771701775072556,795.5574266896198,4152.814969384317,6804.988874497338,6431.0,0.0009621552277100705,500.0,38400.0,6659.167465661941,6950.810283332735,7657.312079731054
"(808.376, 813.877]",3117,0.003847792646218739,811.1512922042167,4026.4598373690196,6805.575281587544,6600.0,0.0,500.0,38400.0,6664.167995145056,6946.982568030032,7657.312079731054
"(323.341, 336.297]",3117,0.7528083020233894,329.9419660843096,5320.484155274475,6807.5956713724945,5736.0,0.8395893487327558,400.0,40000.0,6620.742888196784,6994.448454548205,6462.427565884118
"(778.265, 783.174]",3118,0.005854164745950306,780.7302457578255,4105.681471682337,6813.770587551573,6448.0,0.0006414368184733803,400.0,40000.0,6669.604218271011,6957.936956832135,7657.312079731054
"(216.139, 240.3]",3118,0.9249673222534104,228.8489481590776,5761.919181216007,6824.580358360472,5682.0,0.9785118665811418,400.0,40000.0,6622.257071916245,7026.903644804699,6462.427565884118
"(261.21, 278.922]",3117,0.8744718425264943,270.17037036604825,5625.118255073663,6836.518115136978,5784.0,0.9457811998716715,400.0,40000.0,6638.966732409707,7034.069497864249,6462.427565884118
"(832.28, 839.176]",3117,0.002741747511109307,835.687163086044,4264.3676340598295,6896.39397396951,6375.0,0.0,200.0,40000.0,6746.631482877683,7046.156465061336,7657.312079731054
"(763.537, 768.42]",3118,0.007173254880054173,765.9755993354396,4392.799384491222,6903.7908027894055,6528.0,0.0012828736369467607,500.0,80000.0,6749.542612176486,7058.038993402325,7657.312079731054
"(278.922, 294.863]",3118,0.8464588747863128,287.08255270961456,5647.4815769015995,6914.234627997646,5868.0,0.9268762026940346,500.0,40000.0,6715.929688820971,7112.539567174322,6462.427565884118
